go_id	gene_id
GO:0000166	Os08g0126300
GO:0000166	Os08g0126700
GO:0000166	Os08g0129700
GO:0000166	Os08g0139000
GO:0000166	Os08g0148267
GO:0000166	Os08g0150800
GO:0000166	Os08g0153000
GO:0000166	Os08g0183900
GO:0000166	Os08g0190200
GO:0000166	Os08g0191800
GO:0000166	Os08g0192900
GO:0000166	Os08g0270400
GO:0000166	Os08g0277200
GO:0000166	Os08g0295300
GO:0000166	Os08g0298700
GO:0000166	Os08g0314800
GO:0000166	Os08g0320000
GO:0000166	Os08g0320100
GO:0000166	Os08g0327400
GO:0000166	Os08g0342400
GO:0000166	Os08g0379400
GO:0000166	Os08g0384500
GO:0000166	Os08g0385900
GO:0000166	Os08g0387700
GO:0000166	Os08g0388300
GO:0000166	Os08g0398000
GO:0000166	Os08g0398300
GO:0000166	Os08g0398350
GO:0000166	Os08g0412200
GO:0000166	Os08g0416400
GO:0000166	Os08g0424700
GO:0000166	Os08g0427900
GO:0000166	Os08g0434300
GO:0000166	Os08g0436000
GO:0000166	Os08g0441500
GO:0000166	Os08g0445500
GO:0000166	Os08g0476300
GO:0000166	Os08g0480100
GO:0000166	Os08g0483200
GO:0000166	Os08g0486200
GO:0000166	Os08g0488700
GO:0000166	Os08g0490300
GO:0000166	Os08g0492100
GO:0000166	Os08g0499100
GO:0000166	Os08g0504600
GO:0000166	Os08g0510400
GO:0000166	Os08g0515900
GO:0000166	Os08g0517200
GO:0000166	Os08g0520300
GO:0000166	Os08g0526100
GO:0000166	Os08g0538000
GO:0000166	Os08g0542900
GO:0000166	Os08g0545200
GO:0000166	Os08g0547000
GO:0000166	Os08g0553800
GO:0000166	Os08g0557100
GO:0000166	Os08g0557800
GO:0000166	Os08g0562100
GO:0000166	Os08g0564100
GO:0000166	Os08g0564300
GO:0000166	Os08g0567200
GO:0000166	Os09g0106200
GO:0000166	Os09g0111800
GO:0000166	Os09g0115400
GO:0000166	Os09g0123200
GO:0000166	Os09g0125900
GO:0000166	Os09g0127300
GO:0000166	Os09g0130800
GO:0000166	Os09g0133200
GO:0000166	Os09g0250800
GO:0000166	Os09g0262000
GO:0000166	Os09g0277800
GO:0000166	Os09g0279500
GO:0000166	Os09g0280300
GO:0000166	Os09g0294000
GO:0000166	Os09g0298700
GO:0000166	Os09g0299500
GO:0000166	Os09g0313500
GO:0000166	Os09g0314500
